,Origin ISO,Destination ISO,Religious similarity
982,ALB,ECU,0.32087721999999996
983,ALB,EGY,1.09522434
984,ALB,ERI,0.66033762
985,ALB,ESH,0.596144
986,ALB,ESP,0.31598212000000003
987,ALB,EST,0.1787876
988,ALB,ETH,0.5834776399999999
989,ALB,FIN,0.19885546000000004
990,ALB,FJI,0.19289783
991,ALB,FLK,0.17577020000000002
992,ALB,FRA,0.35812440999999995
993,ALB,FRO,0.1971858
994,ALB,FSM,0.25887079999999996
995,ALB,GAB,0.40545866
996,ALB,GBR,0.23605116
997,ALB,GEO,0.36105472000000005
998,ALB,GHA,0.38180065999999996
999,ALB,GIB,0.3077832
1000,ALB,GIN,1.0639212999999998
1001,ALB,GLP,0.330559
1002,ALB,GMB,1.1157572100000002
1003,ALB,GNB,0.5223959699999999
1004,ALB,GNQ,0.35546983
1005,ALB,GRC,0.30003884000000003
1006,ALB,GRD,0.26251675
1007,ALB,GRL,0.20665480000000003
1008,ALB,GTM,0.28293513
1009,ALB,GUF,0.11071
1010,ALB,GUM,0.32821130000000004
1011,ALB,GUY,0.18725086000000002
1012,ALB,HKG,0.11451699999999998
1013,ALB,HND,0.28072700000000006
1014,ALB,HRV,0.33892577
1015,ALB,HTI,0.28554198
1016,ALB,HUN,0.24906221
1017,ALB,IDN,1.0548464700000002
1018,ALB,IMN,0.18643340000000003
1019,ALB,IND,0.16004566
1020,ALB,IRL,0.32628697
1021,ALB,IRN,0.7057065800000001
1022,ALB,IRQ,0.8197846499999999
1023,ALB,ISL,0.2086743
1024,ALB,ISR,0.24716179
1025,ALB,ITA,0.30960289
1026,ALB,JAM,0.18102516000000002
1027,ALB,JOR,1.1903678
1028,ALB,JPN,0.020597499999999998
1029,ALB,KAZ,0.8123726400000001
1030,ALB,KEN,0.3373522399999999
1031,ALB,KGZ,0.9822007399999999
1032,ALB,KHM,0.024342620000000002
1033,ALB,KIR,0.27959
1034,ALB,KNA,0.24048092
1035,ALB,KOR,0.14472719
1036,ALB,KWT,1.0058699999999998
1037,ALB,LAO,0.01723094
1038,ALB,LBN,0.6389718
1039,ALB,LBR,0.33914054000000005
1040,ALB,LBY,1.2010610000000002
1041,ALB,LCA,0.2877175
1042,ALB,LIE,0.32320889999999997
1043,ALB,LKA,0.13719873
1044,ALB,LSO,0.28030568
1045,ALB,LTU,0.3066047
1046,ALB,LUX,0.34223777
1047,ALB,LVA,0.24519069000000004
1048,ALB,MAC,0.0386446
1049,ALB,MAR,1.2188109999999999
1050,ALB,MCO,0.31113
1051,ALB,MDA,0.29869183999999993
1052,ALB,MDG,0.22823251999999997
1053,ALB,MDV,1.17253244
1054,ALB,MEX,0.32037824000000004
1055,ALB,MHL,0.21630760999999998
1056,ALB,MKD,0.60578869
1057,ALB,MLI,1.16026471
1058,ALB,MLT,0.3431774799999999
1059,ALB,MMR,0.07058033
1060,ALB,MNE,0.34498065
1061,ALB,MNG,0.0699139
1062,ALB,MNP,0.2630377
1063,ALB,MOZ,0.4321297600000001
1064,ALB,MRT,1.19402824
1065,ALB,MSR,0.24486549999999999
1066,ALB,MTQ,0.319507
1067,ALB,MUS,0.31070862
1068,ALB,MWI,0.36782708000000003
1069,ALB,MYS,0.7377926
1070,ALB,MYT,1.1930999999999998
1071,ALB,NAM,0.23436681
1072,ALB,NCL,0.2159816
1073,ALB,NER,1.13619458
1074,ALB,NGA,0.70534676
1075,ALB,NIC,0.29361244999999997
1076,ALB,NIU,0.1950655
1077,ALB,NLD,0.24930128000000004
1078,ALB,NOR,0.22393485999999999
1079,ALB,NPL,0.031170380000000004
1080,ALB,NRU,0.24994943
1081,ALB,NZL,0.2031329
1082,ALB,OMN,0.75189014
1083,ALB,PAK,1.09862755
1084,ALB,PAN,0.31565467999999997
1085,ALB,PER,0.31400875999999994
